F_Name L_Name Fther_N E_N B_G Age F_N DP Ph Email HA s1 s2 s3 s4 
Ahmad Hussain Axel 10 B+ 26 FF Testing 123 ABC P1 20k 30k 40k 50k 
Eyal John Baren 101 A+ 28 FF Networks 234 DEF P2 10k 20k 30k 40k 
Moshe Neyr Barry 01 O+ 29 FF Security 345 GHI P5 20k 30k 40k 50k 
Bla Casper Axel 03 B- 35 FF Design 456 JKL P7 30k 40k 50k 60k 
Hoda Claude Baren 05 B+ 30 FF Security 678 MNO P3 50k 60k 70k 80k 
et188 Crew Barry 09 A+ 33 FF Testing 789 PQR P4 60k 70k 80k 90k 
Steven Chester Axel 13 A- 22 FF Networks 987 STU P1 30k 30k 30k 30k 
Abel Clive Baren 19 O+ 23 FF Design 876 VWX P1 50k 40k 40k 45k 
Abraham Basil Barry 20 AB+ 28 FF Design 765 XYZ P3 40k 50k 60k 60k 
Adley Curt Baren 33 B+ 26 FF Testing 654 BAC P5 30k 40k 50k 60k 
Andrew Conrad Axel 40 A+ 32 FF Security 543 ZYX P4 50k 60k 70k 80k 
